Gene,Mean SHAP Value
RAF1,0.00011465197789849736
RASGEF1B,0.00011459712212338665
NUDT3,0.00011426278098860721
LPPR3,0.00011404391502147023
RTKN,0.00011385124978627054
SALL2,0.00011379980091404284
TES,0.00011364882795540144
IL1RL2,0.00011325357506433382
ID4,0.00011298763360821225
NUDT11,0.00011289491334402398
FAM120AOS,0.00011270668292914803
SH3KBP1,0.00011270329628102988
GMPR2,0.00011263061971247868
PFN2,0.00011254997111874686
MSL3,0.00011241349128185379
HTR7,0.00011240944273660248
HSF1,0.00011235173748432435
LPXN,0.00011229197526654644
ERP44,0.00011226485469173081
SCLT1,0.00011225661679795175
GMDS,0.00011223447292361003
IQCG,0.0001113598441932722
EIF4EBP1,0.00011104911306269904
FANCC,0.00011096228350888564
DNER,0.00011075806169580806
CTSG,0.00011062575650383663
STEAP3,0.00011041092137380057
NUBPL,0.00011033562163233416
CDKN2C,0.00010985819989147766
ANKRD11,0.00010979490642597948
CDS2,0.00010945162344760259
MYLK4,0.0001093505756175097
RAB6C,0.00010871942587483266
EID1,0.00010871487879485651
WDR5B,0.00010853602663164081
LMNA,0.00010833984140093239
CHI3L2,0.00010833215076547253
CCDC148,0.00010814376174355957
FGF11,0.00010785295942256922
PCSK4,0.00010774063982820547
METRN,0.00010766305983086599
FAM64A,0.00010759845596835274
MALL,0.00010701700239181985
ABAT,0.00010689050578570553
NDUFA9,0.00010616621473392011
GRPEL1,0.00010614027992421037
C12orf45,0.0001061221737211798
MOBKL2B,0.00010601869715649966
USP35,0.00010588801949192163
METTL1,0.00010586494167754954
FGFBP3,0.0001057199470317466
STT3A,0.00010568858090448093
MEIG1,0.00010559199640672724
ANKRD28,0.00010557439545217107
LASS4,0.00010549306696194185
TTC26,0.00010519664527195978
GRHL1,0.00010503803559416743
NDRG4,0.00010487538688453933
GYS1,0.00010480093204775438
CPA5,0.00010472946244176514
C5orf27,0.00010466486118758022
BMPR1A,0.00010442167961403544
LRRFIP1,0.0001039949516052848
IL2RG,0.00010396899462942983
FAM3D,0.00010392042933877651
KIF18B,0.00010390923602409276
MET,0.00010370623491935978
SERPINA11,0.00010357304343872237
FNTA,0.00010355490818401495
PTPN7,0.00010312789245303856
TRPM6,0.00010303654198810021
IFNGR1,0.00010296591244871888
CRYBB1,0.0001027420996859548
NOTCH1,0.00010271772973005579
MKRN3,0.00010256938559877288
SLC38A2,0.00010254320548864517
RTBDN,0.00010250639121729591
SAA1,0.00010242479241506913
KLK6,0.00010200658328054729
ZFP28,0.00010164823995787906
C2orf70,0.00010105660011045638
CDCA7,0.00010101716733306903
MSH6,0.00010099518225126754
KPNA2,0.00010093114129748941
SORL1,0.00010087913521653306
CHIC2,0.0001007590125255904
MLLT1,0.00010068020248119132
SYDE2,0.00010027711754635794
CST3,0.0001001046756154425
GRHPR,9.996776967349458e-05
C1QL4,9.987876393591535e-05
ZNF326,9.982905619393627e-05
KLK7,9.976739809639996e-05
CRLF1,9.933709277625878e-05
STON2,9.930811906347688e-05
TEAD3,9.91646203896679e-05
KIAA1324,9.908337202845538e-05
PI15,9.88333448212476e-05
DYNC1I2,9.845061381304704e-05
NGF,9.84374192626593e-05
PHB2,9.827548579176352e-05
HIST1H3B,9.817059503202421e-05
WASF3,9.783484076252794e-05
CGNL1,9.775933078044408e-05
PSMD12,9.775744193990392e-05
YIPF5,9.766739149432808e-05
TMEM199,9.729962567178247e-05
SNTN,9.718706211876937e-05
PRMT1,9.713954598838259e-05
IMPA2,9.69852903847433e-05
SEC61B,9.685571888655508e-05
C14orf143,9.681490226887463e-05
NUP43,9.669008189271683e-05
HIP1R,9.657352633498915e-05
C17orf37,9.656712923989316e-05
PWP2,9.653468047154336e-05
CEACAM5,9.639547522920054e-05
ZNF554,9.610467436978902e-05
ZNF563,9.578732114071329e-05
FGD3,9.577482278782296e-05
FAM188B,9.577085427254674e-05
FMN1,9.533317690353311e-05
HS3ST2,9.512076250916697e-05
MICAL3,9.491744636886936e-05
DNAJB14,9.48157052287433e-05
RNF39,9.478497207267682e-05
TRMT11,9.470477990339476e-05
IL11,9.461047448651862e-05
DNAJB11,9.455452378278608e-05
WDR52,9.430944013649018e-05
ALPK1,9.417314038339041e-05
