Gene,log2FoldChange,pvalue,adj_pvalue
C17orf76,-0.5871439809905343,8.750775013055016e-08,2.2779837736522e-07
PIK3C2G,1.3894092219472904,8.833858938651948e-08,2.299260549063773e-07
ESYT2,0.35622463375358215,8.864363816465559e-08,2.3068477352446282e-07
MRPS21,0.5129755154942881,8.884176548742195e-08,2.31165052139159e-07
PEX1,-0.3304928950159063,8.895145585393225e-08,2.314151074232304e-07
RAD51L1,0.8270930206983236,8.922776781246786e-08,2.3209850096934898e-07
HIC2,0.3599288166215002,8.9360162617354e-08,2.3240738689272124e-07
TNFRSF4,0.6051506107379918,8.982687637924885e-08,2.3358554050062727e-07
SSR1,0.3022037626173333,9.000413575685196e-08,2.3401075296781507e-07
RNF112,0.6507609795373317,9.138045025924025e-08,2.3755290305523761e-07
GPD2,-0.3449853147951796,9.194418404179577e-08,2.3898190693403267e-07
RPS6KA4,0.4220980990534571,9.246050049917722e-08,2.402872460706528e-07
ISCA2,-0.3196470052236755,9.344237178571386e-08,2.428018906790825e-07
MED20,0.31227261694356123,9.34979039917914e-08,2.429091235667746e-07
FAM35B2,-0.29478548760849854,9.360794644730102e-08,2.431579206829677e-07
RASGRP3,0.5198935469934405,9.387520066279458e-08,2.438149561213042e-07
TMED10,-0.26127784847413693,9.390195847132793e-08,2.4384726330690987e-07
CORO1A,0.6539673147166241,9.494026339438962e-08,2.4650597432633867e-07
MAGEA4,2.1573373276776246,9.50591031100719e-08,2.4677690944581165e-07
C19orf46,-0.8087445387062564,9.509944481223444e-08,2.468440093205841e-07
C7orf28A,0.3525570441066712,9.51435400516816e-08,2.469208300945044e-07
HSF1,0.4013113074898875,9.544046791221666e-08,2.476536901638046e-07
HLA-B,0.6249832803110671,9.561291719342381e-08,2.480628608099958e-07
RACGAP1P,0.4207791602843567,9.562728603744112e-08,2.480628608099958e-07
KIAA0090,0.32553400887631945,9.58107867142987e-08,2.485010200646523e-07
WNT9B,-0.49972713954675774,9.596274385736437e-08,2.4885724499633243e-07
CCNT1,-0.7165494521032167,9.65715018053815e-08,2.503977886336247e-07
TFEB,0.5028600133537573,9.671988317829852e-08,2.507443462515488e-07
PARVB,0.4711268371234425,9.716278472415118e-08,2.518542197644284e-07
TCEB1,0.3480956325360385,9.807785089697349e-08,2.5418746016975475e-07
PRKRIR,0.3394460626055533,9.818744475574741e-08,2.5443277300523105e-07
STK33,1.0762985507246376,9.911742849981378e-08,2.568035611367456e-07
CLCNKA,-0.6609915282196304,9.943059071216973e-08,2.575757468555294e-07
LGALS2,0.9577148108872393,1.0016615988977224e-07,2.5944177991221615e-07
PFAS,-0.2987706492282314,1.003422722088595e-07,2.5985840871607016e-07
DBF4B,0.36571318487097937,1.0040462940756935e-07,2.599613686424214e-07
POMGNT1,-0.262547024861556,1.0041255918554597e-07,2.599613686424214e-07
STK38L,0.5791705981697532,1.0047031180183386e-07,2.6003182522571896e-07
TAZ,0.31157502061977027,1.0046162309383375e-07,2.6003182522571896e-07
PYGB,0.4653715093672677,1.0051557225656876e-07,2.6010943557656377e-07
MGAT4B,0.3320669455245273,1.0063638025356732e-07,2.603824909933533e-07
NUDT21,0.3159636110129238,1.0259772199466409e-07,2.654168624592328e-07
NTAN1,0.33216431404893854,1.0273522136231524e-07,2.6573220227828503e-07
IFI44,0.8179108126153718,1.0289115139237497e-07,2.66095111345808e-07
GPR183,0.7071789089195244,1.0301853040333738e-07,2.6638408332354014e-07
RASA4P,-0.4294216016652914,1.0309667973213094e-07,2.665456893636238e-07
HMCN1,-0.8537511095400792,1.046473185123904e-07,2.7051363604523507e-07
CLIC1,0.24556952201406368,1.0469139981663783e-07,2.705865137163974e-07
CARHSP1,0.35152946467145973,1.0506667625277758e-07,2.7151524986112324e-07
SERF1A,-0.35672526609323896,1.0531426509539732e-07,2.721137816074369e-07
IL1RL1,-0.8452071992459054,1.0666925553232864e-07,2.755730312068502e-07
CCDC144C,0.8043567024076037,1.0677892435560802e-07,2.7581451263097294e-07
RTP4,0.900242421743056,1.0688073296085031e-07,2.7603562061317575e-07
RAB9A,0.3162588390086807,1.0778575328696035e-07,2.78330762468072e-07
TTC9,-0.5620799968579391,1.0850405655711003e-07,2.801431296494214e-07
IPW,-0.9416345037508353,1.0884448358935718e-07,2.809794687777403e-07
QPCTL,0.371470193629472,1.088992168095867e-07,2.8107815432968497e-07
USH2A,-0.5559057617532699,1.0967048390373394e-07,2.830259646735246e-07
